"Time [ns]","Moving1.Position-45deg [deg]","L(Winding,Winding) [mH]"
5749999.99999999,34.1325355213852,18.8206862121675
5799999.99999999,33.1790514335362,19.025126805721
5849999.99999999,32.1843173784792,19.2367049984593
5899999.99999999,31.1485881965558,19.4416783793332
5949999.99999999,30.0720273633153,19.6630165072294
5999999.99999999,28.9546989260989,19.8901702386666
6049999.99999999,27.7967793901221,20.135060567651
6099999.99999999,26.5984312366862,20.3756081600773
6149999.99999999,25.359806774467,20.6222705657129
6199999.99999999,24.0812065383064,20.8779367349783
6249999.99999999,22.7628860981104,21.1487365375168
6299999.99999999,21.4050663520865,21.4145178201336
6349999.99999999,20.007946722414,21.6880160240654
6399999.99999999,18.5718696215088,21.9671501945906
6449999.99999999,17.0972484715074,22.2575176720218
6499999.99999999,15.5845902861041,22.5391778474021
6549999.99999999,14.0346341767242,22.8262180798589
6599999.99999999,12.4481087982709,23.1286568874638
6649999.99999999,10.8260364266405,23.4054848881931
6699999.99999999,9.16987263675385,23.6813664686461
6749999.99999999,7.48159909766309,23.9620047182086
6799999.99999999,5.76390313854131,24.200197163382
6849999.99999999,4.02007618533701,24.4094635813694
6899999.99999999,2.25509719690515,24.5772502537109
6949999.99999999,0.476695483873018,24.6437266229936
6999999.99999999,-1.30522959022865,24.6323648407745
7049999.99999999,-3.08102249565843,24.5330164769277
7099999.99999998,-4.84141723901255,24.3491082859397
7149999.99999998,-6.57884506113442,24.1216191833101
7199999.99999998,-8.28815640647094,23.8567030227151
7249999.99999998,-9.96618415384156,23.5789771707124
7299999.99999998,-11.6110306394055,23.2969971293634
7349999.99999998,-13.2212045308395,23.0050413551187
7399999.99999998,-14.7955453528073,22.7108449785431
7449999.99999998,-16.3333186393249,22.4231392105243
7499999.99999998,-17.8338912205102,22.1389835914792
7549999.99999998,-19.2966384790414,21.8485145309007
7599999.99999998,-20.7211591958103,21.5709985123592
7649999.99999998,-22.1071398256787,21.3034027034985
7699999.99999998,-23.4542379271108,21.0300588939055
7749999.99999998,-24.7621422561872,20.7662817859609
7799999.99999998,-26.0306297814295,20.5116939660945
7849999.99999998,-27.2595018574026,20.2692116479884
7899999.99999998,-28.4485491501765,20.0213496266098
7949999.99999998,-29.5975445715706,19.7841689786778
7999999.99999998,-30.7063295017878,19.556854836459
8049999.99999998,-31.7747716763208,19.3415448245414
8099999.99999998,-32.8026534524571,19.132560247175
8149999.99999998,-33.7897865502775,18.9206660503716
8199999.99999998,-34.7360407211951,18.7228287255501
8249999.99999998,-35.641302379716,18.5332959382012
8299999.99999998,-36.5055012574426,18.3553961727893
8349999.99999998,-37.3284578228133,18.1894187602479
8399999.99999998,-38.1099267388018,18.0201157136781
8449999.99999998,-38.8497655811885,17.8590321024116
8499999.99999998,-39.5479302832105,17.7102733973368
8549999.99999998,-40.2043778222752,17.5715687793344
8599999.99999998,-40.8190658636191,17.4401537792434
8649999.99999998,-41.3919472259026,17.3203299017686
8699999.99999998,-41.9228776600476,17.2103109182422
8749999.99999997,-42.4116773794814,17.1107796645572
8799999.99999997,-42.8582092587744,17.0122861961816
8849999.99999997,-43.2624048463547,16.9216007414359
8899999.99999997,-43.6242295966573,16.8414820412784
8949999.99999997,-43.9436773319475,16.7712711392711
8999999.99999997,-44.2207251869347,16.7109285445183
9049999.99999997,-44.4553530877068,16.6603518524542
9099999.99999997,-44.6475551092078,16.6192381888962
9149999.99999997,-44.7973231330961,16.5873868049412
9199999.99999997,-44.9046414077907,16.5646558506525
9249999.99999997,-44.9694913783711,16.5509547903674
9300000,-44.9918584567941,16.5462349653702
