"Time [ns]","Moving1.Position-45deg [deg]","Moving1.Torque [mNewtonMeter]"
3400000,31.1174766906208,-53.1730076278863
3450000,32.1544238985353,-53.421046173354
3500000,33.150372161093,-53.8133240375885
3550000,34.105077345669,-53.9056410766835
3600000,35.018398314353,-54.2479958133143
3650000,35.8901678291963,-54.0943002757533
3700000,36.7203580051848,-54.5848284811481
3750000,37.5087516395221,-54.4752483721152
3800000,38.2552768238747,-54.9854668386168
3850000,38.9596898869991,-54.9600314624629
3900000,39.6219386493196,-54.9596735649195
3950000,40.2420141205256,-55.056857650785
4000000,40.8198696282526,-55.0335239921201
4050000,41.3554599193916,-55.3836187074605
4100000,41.8485748905803,-55.6498829465587
4150000,42.2990388132113,-55.6091808494723
4200000,42.7068300367846,-55.6750629448585
4250000,43.0718893968686,-55.9149873164327
4300000,43.3940782588707,-55.9737289458162
4350000,43.6733428847011,-55.9191469516346
4400000,43.9097049037978,-55.909560086522
4450000,44.1031788996752,-55.8884255527363
4500000,44.2537800453883,-55.8638755262236
4550000,44.3615250296015,-55.8526808797936
4600000,44.426422912956,-55.8511422958946
4650000,44.448475837499,-55.8517374011755
4700000,44.4276837694084,-55.8511600969296
4750000,44.3640467518187,-55.8525368354225
4800000,44.2575627726791,-55.86334430969
4850000,44.108223029308,-55.8875872601444
4900000,43.9160109516237,-55.9094097668694
4950000,43.6809113374517,-55.9167795936764
5000000,43.4029104034614,-55.9732831721828
5050000,43.0819852366288,-55.9191117274058
5100000,42.7181862729012,-55.6848125237168
5150000,42.3116507241707,-55.6029871253671
5200000,41.8624439274381,-55.6535589259086
5250000,41.3705836631476,-55.3940285674423
5300000,40.836241325012,-55.0410337069389
5350000,40.2596297163204,-55.0481167735218
5400000,39.6408007759128,-54.9665432032487
5449999.99999999,38.9797963080528,-54.9587851474621
5499999.99999999,38.2766267758138,-54.9895547204573
5549999.99999999,37.5313401923604,-54.4987027120521
5599999.99999999,36.7441714297209,-54.5943052744361
5649999.99999999,35.9151966662184,-54.1069233599224
5699999.99999999,35.0446373954356,-54.2284511704114
5749999.99999999,34.1325355213852,-53.9019724059939
5799999.99999999,33.1790514335362,-53.8318841160219
5849999.99999999,32.1843173784792,-53.4043581590959
5899999.99999999,31.1485881965558,-53.1913335355702
5949999.99999999,30.0720273633153,-53.1923448893981
5999999.99999999,28.9546989260989,-52.9003820865764
6049999.99999999,27.7967793901221,-52.6866981735621
6099999.99999999,26.5984312366862,-52.5625599742704
6149999.99999999,25.359806774467,-52.081524530515
6199999.99999999,24.0812065383064,-51.7791912849713
6249999.99999999,22.7628860981104,-51.4706367382158
6299999.99999999,21.4050663520865,-51.2794475806714
6349999.99999999,20.007946722414,-50.7929914819677
6399999.99999999,18.5718696215088,-50.2518491622625
6449999.99999999,17.0972484715074,-49.6693208727437
6499999.99999999,15.5845902861041,-48.5750025650774
6549999.99999999,14.0346341767242,-47.7538933704912
6599999.99999999,12.4481087982709,-46.4335227338156
6649999.99999999,10.8260364266405,-44.5404517414118
6699999.99999999,9.16987263675385,-42.0484241963067
6749999.99999999,7.48159909766309,-38.4101130607275
6799999.99999999,5.76390313854131,-34.4366192734595
6849999.99999999,4.02007618533701,-28.2252370488747
6899999.99999999,2.25509719690515,-18.1016651613195
6949999.99999999,0.476695483873018,-4.35304743252126
6999999.99999999,-1.30522959022865,7.9561213038941
7049999.99999999,-3.08102249565843,20.4909104512836
7099999.99999998,-4.84141723901255,30.5159344639713
7149999.99999998,-6.57884506113442,37.0795941504149
7199999.99999998,-8.28815640647094,41.0768366613946
7249999.99999998,-9.96618415384156,43.295633987544
